Grupo,CIE-10,Defunciones,Porcentaje,Vigencia
ENFERMEDADES DEL HIGADO,1-080,4,1.2,2012
RESTO DE ENFERMEDADES DEL SISTEMA CIRCULATORIO,1-071,6,1.8,2012
ENFERMEDADES HIPERTENSIVAS,1-066,4,1.2,2012
TUBERCULOSIS RESPIRATORIA,1-005,4,1.2,2012
SUB TOTAL OTRAS CAUSAS,N/A,46,13.7,2012
ENFERMEDADES ISQUEMICAS DEL CORAZON,1-067,50,13.8,2013
NEUMONIA,1-074,48,13.3,2013
RESTO DE TUMORES MALIGNOS,1-026,44,12.2,2013
OTRAS ENFERMEDADES DEL SISTEMA CIRCULATORIO,1-064,23,6.4,2013
ENFERMEDADES DEL SISTEMA DIGESTIVO,1-078,22,6.1,2013
SEPTICEMIA,1-012,20,5.5,2013
ENFERMEDADES CEREBROVASCULARES,1-069,16,4.4,2013
OTRAS ENFERMEDADES DEL CORAZON,1-068,15,4.1,2013
TUMOR MALIGNO DE BROQUIO- PULMON,1-034,14,3.9,2013
OTRAS ENFERMEDADES DEL SISTEMA RESPIRATORIO,1-072,14,3.9,2013
ACCIDENTES DE TRANSPORTE,1-096,12,3.3,2013
CAIDAS,1-097,9,2.5,2013
ENFERMEDADES DEL SISTEMA NERVIOSO,1-058,9,2.5,2013
OTRAS CAUSAS EXTERNAS,1-103,9,2.5,2013
ENFERMEDADES DEL SISTEMA GENITOURINARIO,1-084,8,2.2,2013
HEMORRAGIA INTRACEREBRAL,1-071,6,1.7,2013
TUMOR MALIGNO DEL ESTOMAGO,1-029,6,1.7,2013
TUMOR MALIGNO DEL COLON,1-030,6,1.7,2013
TUMOR MALIGNO DE HIGADO,1-031,6,1.7,2013
SANGRADO DIGESTIVO,1-081,6,1.7,2013
SUB TOTAL OTRAS CAUSAS,N/A,19,5.2,2013
ENFERMEDADES ISQUEMICAS DEL CORAZON,1-067,51,15,2014
RESTO DE TUMORES MALIGNOS,1-026,51,15,2014
NEUMONIA,1-074,34,10,2014
ENFERMEDADES DEL SISTEMA DIGESTIVO,1-078,22,6.5,2014
OTRAS ENFERMEDADES DEL SISTEMA RESPIRATORIO,1-072,16,4.7,2014
OTRAS ENFERMEDADES DEL CORAZON,1-068,14,4.1,2014
CAIDAS EN EL MISMO NIVEL,1-097,13,3.8,2014
SEPTICEMIA,1-012,12,3.5,2014
OTRAS ENFERMEDADES DEL SISTEMA CIRCULATORIO,1-064,12,3.5,2014
TUMOR MALIGNO DEL ESTOMAGO,1-029,12,3.5,2014
ACCIDENTES DE TRANSPORTE,1-096,11,3.2,2014
TUMOR MALIGNO DE BROQUIO- PULMON,1-034,10,2.9,2014
ENFERMEDADES DEL SISTEMA GENITOURINARIO,1-084,10,2.9,2014
ENFERMEDADES CEREBROVASCULARES,1-069,8,2.4,2014
HEMORRAGIA SUBARACNOIDEA,1-071,8,2.4,2014
OTRAS CAUSAS EXTERNAS,1-103,8,2.4,2014
ENFERMEDADES DEL SISTEMA NERVIOSO,1-058,7,2.1,2014
ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA  VIH,1-030,7,2.1,2014
HEMORRAGIA INTRAENCEFALICA,1-071,5,1.5,2014
TUMOR MALIGNO DE LA MAMA,1-081,4,1.2,2014
SUB TOTAL OTRAS CAUSAS,N/A,24,7.1,2014
TUMORES MALIGNOS,1-026,89,24.3,2015
NEUMONIA,1-074,32,8.7,2015
OTRAS CAUSAS EXTERNAS,1-103,29,7.9,2015
ENFERMEDADES ISQUEMICAS DEL CORAZON,1-067,27,7.4,2015
OTRAS ENFERMEDADES DEL CORAZON,1-068,23,6.3,2015
ENFERMEDADES CEREBROVASCULARES,1-069,20,5.5,2015
ENFERMEDADES DEL SISTEMA DIGESTIVO,1-078,15,4.1,2015
HEMORRAGIA SUBARACNOIDEA,1-071,11,3,2015
"TRASTORNOS DE LA VESIVULA BILIAR, DE LAS VIAS BILIARES Y DEL PANCREAS",1-012,10,2.7,2015
"CAIDAS (escaleras , desde su propia altura , y otras)",1-097,10,2.7,2015
ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA,1-072,9,2.5,2015
OTRAS ENFERMEDADES DEL SISTEMA CIRCULATORIO,1-064,9,2.5,2015
ENFERMEDADES DEL SISTEMA RESPIRATORIO,1-096,9,2.5,2015
CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,1-034,9,2.5,2015
TUBERCULOSIS,1-071,8,2.2,2015
INFECCION DE VIAS URINARIAS,1-081,8,2.2,2015
OTRAS ENFERMEDADES DE LOS INTESTINOS,1-029,8,2.2,2015
ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA  VIH,1-030,6,1.6,2015
ENFERMEDADES DEL SISTEMA GENITOURINARIO,1-084,6,1.6,2015
ENFERMEDADES DEL SISTEMA NERVIOSO,1-058,6,1.6,2015
SUB TOTAL OTRAS CAUSAS,N/A,22,6,2015
NEUMONIA,1-074,60,15.3,2016
TUMORES MALIGNOS,1-026,57,14.6,2016
ENFERMEDADES CEREBROVASCULARES,1-069,38,9.7,2016
ENFERMEDADES ISQUEMICAS DEL CORAZON,1-067,35,9,2016
ENFERMEDADES DEL SISTEMA DIGESTIVO,1-078,31,7.9,2016
OTRAS ENFERMEDADES DEL CORAZON,1-068,18,4.6,2016
A CAUSA DE ACCIDENTE DE TRANSITO,1-103,17,4.3,2016
ENFERMEDADES DEL SISTEMA RESPIRATORIO,1-096,14,3.6,2016
SEPTICEMIA,1-029,13,3.3,2016
PERITONITIS,1-071,11,2.8,2016
INFECCION DE VIAS URINARIAS,1-081,9,2.3,2016
"CAIDAS (escaleras , desde su propia altura , y otras)",1-097,8,2,2016
OTRAS ENFERMEDADES DEL SISTEMA CIRCULATORIO,1-064,8,2,2016
TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON,1-034,8,2,2016
ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA  VIH,1-030,8,2,2016
TUMOR MALIGNO DEL COLON,1-012,7,1.8,2016
TUMOR MALIGNO DEL ESTOMAGO,1-071,6,1.5,2016
ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA,1-072,5,1.3,2016
PANCREATITIS,1-084,5,1.3,2016
ENFERMEDADES DEL SISTEMA NERVIOSO,1-058,5,1.3,2016
SUB TOTAL OTRAS CAUSAS,N/A,28,7.2,2016
