iddepto,nomdepto,idmpio,nompio,tiporegimen,identidad,nomentidad,año,mes,total
05,05 - ANTIOQUIA,05001,05001 - MEDELLÍN,CONTRIBUTIVO,EAS027,FONDO DE PASIVO SOCIAL DE LOS FERROCARRILES NALES,2017,Abril,1419
05,05 - ANTIOQUIA,05001,05001 - MEDELLÍN,CONTRIBUTIVO,EPS002,SALUD  TOTAL  S.A.  E.P.S.,2017,Abril,181225
05,05 - ANTIOQUIA,05001,05001 - MEDELLÍN,CONTRIBUTIVO,EPS003,CAFESALUD  E.P.S.  S.A.,2017,Abril,172024
05,05 - ANTIOQUIA,05001,05001 - MEDELLÍN,CONTRIBUTIVO,EPS005,E.P.S.  SANITAS  S.A.,2017,Abril,52694
05,05 - ANTIOQUIA,05001,05001 - MEDELLÍN,CONTRIBUTIVO,EPS010,EPS Y MEDICINA PREPAGADA SURAMERICANA S.A,2017,Abril,934328
05,05 - ANTIOQUIA,05001,05001 - MEDELLÍN,CONTRIBUTIVO,EPS016,COOMEVA   E.P.S.  S.A.,2017,Abril,253578
05,05 - ANTIOQUIA,05001,05001 - MEDELLÍN,CONTRIBUTIVO,EPS017,E.P.S.  FAMISANAR  LTDA.,2017,Abril,68
05,05 - ANTIOQUIA,05001,05001 - MEDELLÍN,CONTRIBUTIVO,EPS018,EPS SERVICIO OCCIDENTAL DE SALUD  S.A. - EPS S.O.S. S.A.,2017,Abril,7032
05,05 - ANTIOQUIA,05001,05001 - MEDELLÍN,CONTRIBUTIVO,EPS023,CRUZ BLANCA  EPS S.A.,2017,Abril,65333
05,05 - ANTIOQUIA,05001,05001 - MEDELLÍN,CONTRIBUTIVO,EPS037,LA NUEVA EPS S.A.,2017,Abril,195877
05,05 - ANTIOQUIA,05001,05001 - MEDELLÍN,CONTRIBUTIVO,EPS040,SAVIA SALUD EPS -CM,2017,Abril,38722
05,05 - ANTIOQUIA,05001,05001 - MEDELLÍN,CONTRIBUTIVO,ESSC02,EMPRESA MUTUAL PARA EL DESARROLLO INTEGRAL  DE LA SALUD E.S.S. EMDISALUD ESS-CM,2017,Abril,241
05,05 - ANTIOQUIA,05001,05001 - MEDELLÍN,CONTRIBUTIVO,ESSC07,ASOCIACIÓN MUTUAL SER EMPRESA SOLIDARIA DE SALUD ESS-CM,2017,Abril,11
05,05 - ANTIOQUIA,05001,05001 - MEDELLÍN,CONTRIBUTIVO,ESSC24,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL ZONA SUR ORIENTAL DE CARTAGENA LTDA. COOSALUD E.S.S.-CM,2017,Abril,67
05,05 - ANTIOQUIA,05001,05001 - MEDELLÍN,CONTRIBUTIVO,ESSC62,ASOCIACIÓN MUTUAL LA ESPERANZA ASMET  SALUD-CM,2017,Abril,5
05,05 - ANTIOQUIA,05001,05001 - MEDELLÍN,SUBSIDIADO,EPSM03,CAFESALUD  E.P.S.  S.A.-CM,2017,Abril,9472
05,05 - ANTIOQUIA,05001,05001 - MEDELLÍN,SUBSIDIADO,EPSS02,SALUD  TOTAL  S.A.  E.P.S. CM,2017,Abril,10338
05,05 - ANTIOQUIA,05001,05001 - MEDELLÍN,SUBSIDIADO,EPSS05,E.P.S.  SANITAS  S.A.-CM,2017,Abril,449
05,05 - ANTIOQUIA,05001,05001 - MEDELLÍN,SUBSIDIADO,EPSS10,EPS Y MEDICINA PREPAGADA SURAMERICANA S.A-CM,2017,Abril,26600
05,05 - ANTIOQUIA,05001,05001 - MEDELLÍN,SUBSIDIADO,EPSS16,COOMEVA   E.P.S.  S.A.-CM,2017,Abril,8331
05,05 - ANTIOQUIA,05001,05001 - MEDELLÍN,SUBSIDIADO,EPSS17,E.P.S.  FAMISANAR  LTDA.-CM,2017,Abril,8
05,05 - ANTIOQUIA,05001,05001 - MEDELLÍN,SUBSIDIADO,EPSS18,EPS SERVICIO OCCIDENTAL DE SALUD  S.A. - EPS S.O.S. S.A.-CM,2017,Abril,163
05,05 - ANTIOQUIA,05001,05001 - MEDELLÍN,SUBSIDIADO,EPSS23,CRUZ BLANCA  EPS S.A.-CM,2017,Abril,2427
05,05 - ANTIOQUIA,05001,05001 - MEDELLÍN,SUBSIDIADO,EPSS37,NUEVA EPS S.A. -CM,2017,Abril,10296
05,05 - ANTIOQUIA,05001,05001 - MEDELLÍN,SUBSIDIADO,EPSS40,SAVIA SALUD EPS,2017,Abril,479820
05,05 - ANTIOQUIA,05002,05002 - ABEJORRAL,CONTRIBUTIVO,EAS016,EMPRESAS PUBLICAS DE MEDELLIN-DEPARTAMENTO MEDICO,2017,Abril,3
05,05 - ANTIOQUIA,05002,05002 - ABEJORRAL,CONTRIBUTIVO,EPS002,SALUD  TOTAL  S.A.  E.P.S.,2017,Abril,1
05,05 - ANTIOQUIA,05002,05002 - ABEJORRAL,CONTRIBUTIVO,EPS003,CAFESALUD  E.P.S.  S.A.,2017,Abril,735
05,05 - ANTIOQUIA,05002,05002 - ABEJORRAL,CONTRIBUTIVO,EPS005,E.P.S.  SANITAS  S.A.,2017,Abril,2
05,05 - ANTIOQUIA,05002,05002 - ABEJORRAL,CONTRIBUTIVO,EPS016,COOMEVA   E.P.S.  S.A.,2017,Abril,1321
05,05 - ANTIOQUIA,05002,05002 - ABEJORRAL,CONTRIBUTIVO,EPS018,EPS SERVICIO OCCIDENTAL DE SALUD  S.A. - EPS S.O.S. S.A.,2017,Abril,1
05,05 - ANTIOQUIA,05002,05002 - ABEJORRAL,CONTRIBUTIVO,EPS023,CRUZ BLANCA  EPS S.A.,2017,Abril,8
05,05 - ANTIOQUIA,05002,05002 - ABEJORRAL,CONTRIBUTIVO,EPS037,LA NUEVA EPS S.A.,2017,Abril,594
05,05 - ANTIOQUIA,05002,05002 - ABEJORRAL,CONTRIBUTIVO,EPS040,SAVIA SALUD EPS -CM,2017,Abril,226
05,05 - ANTIOQUIA,05002,05002 - ABEJORRAL,CONTRIBUTIVO,ESSC24,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL ZONA SUR ORIENTAL DE CARTAGENA LTDA. COOSALUD E.S.S.-CM,2017,Abril,96
05,05 - ANTIOQUIA,05002,05002 - ABEJORRAL,SUBSIDIADO,EPSM03,CAFESALUD  E.P.S.  S.A.-CM,2017,Abril,97
05,05 - ANTIOQUIA,05002,05002 - ABEJORRAL,SUBSIDIADO,EPSS16,COOMEVA   E.P.S.  S.A.-CM,2017,Abril,174
05,05 - ANTIOQUIA,05002,05002 - ABEJORRAL,SUBSIDIADO,EPSS37,NUEVA EPS S.A. -CM,2017,Abril,63
05,05 - ANTIOQUIA,05002,05002 - ABEJORRAL,SUBSIDIADO,EPSS40,SAVIA SALUD EPS,2017,Abril,9313
05,05 - ANTIOQUIA,05002,05002 - ABEJORRAL,SUBSIDIADO,ESS024,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL ZONA SUR ORIENTAL DE CARTAGENA LTDA. COOSALUD E.S.S.,2017,Abril,3204
05,05 - ANTIOQUIA,05004,05004 - ABRIAQUÍ,CONTRIBUTIVO,EPS003,CAFESALUD  E.P.S.  S.A.,2017,Abril,406
05,05 - ANTIOQUIA,05004,05004 - ABRIAQUÍ,CONTRIBUTIVO,EPS037,LA NUEVA EPS S.A.,2017,Abril,15
05,05 - ANTIOQUIA,05004,05004 - ABRIAQUÍ,CONTRIBUTIVO,EPS040,SAVIA SALUD EPS -CM,2017,Abril,42
05,05 - ANTIOQUIA,05004,05004 - ABRIAQUÍ,SUBSIDIADO,EPSM03,CAFESALUD  E.P.S.  S.A.-CM,2017,Abril,54
05,05 - ANTIOQUIA,05004,05004 - ABRIAQUÍ,SUBSIDIADO,EPSS37,NUEVA EPS S.A. -CM,2017,Abril,1
05,05 - ANTIOQUIA,05004,05004 - ABRIAQUÍ,SUBSIDIADO,EPSS40,SAVIA SALUD EPS,2017,Abril,1303
05,05 - ANTIOQUIA,05021,05021 - ALEJANDRÍA,CONTRIBUTIVO,EPS003,CAFESALUD  E.P.S.  S.A.,2017,Abril,340
05,05 - ANTIOQUIA,05021,05021 - ALEJANDRÍA,CONTRIBUTIVO,EPS037,LA NUEVA EPS S.A.,2017,Abril,163
05,05 - ANTIOQUIA,05021,05021 - ALEJANDRÍA,CONTRIBUTIVO,EPS040,SAVIA SALUD EPS -CM,2017,Abril,65
05,05 - ANTIOQUIA,05021,05021 - ALEJANDRÍA,SUBSIDIADO,EPSM03,CAFESALUD  E.P.S.  S.A.-CM,2017,Abril,113
05,05 - ANTIOQUIA,05021,05021 - ALEJANDRÍA,SUBSIDIADO,EPSS37,NUEVA EPS S.A. -CM,2017,Abril,47
05,05 - ANTIOQUIA,05021,05021 - ALEJANDRÍA,SUBSIDIADO,EPSS40,SAVIA SALUD EPS,2017,Abril,2800
05,05 - ANTIOQUIA,05030,05030 - AMAGÁ,CONTRIBUTIVO,EAS027,FONDO DE PASIVO SOCIAL DE LOS FERROCARRILES NALES,2017,Abril,43
05,05 - ANTIOQUIA,05030,05030 - AMAGÁ,CONTRIBUTIVO,EPS002,SALUD  TOTAL  S.A.  E.P.S.,2017,Abril,2728
05,05 - ANTIOQUIA,05030,05030 - AMAGÁ,CONTRIBUTIVO,EPS003,CAFESALUD  E.P.S.  S.A.,2017,Abril,2303
05,05 - ANTIOQUIA,05030,05030 - AMAGÁ,CONTRIBUTIVO,EPS016,COOMEVA   E.P.S.  S.A.,2017,Abril,6258
05,05 - ANTIOQUIA,05030,05030 - AMAGÁ,CONTRIBUTIVO,EPS018,EPS SERVICIO OCCIDENTAL DE SALUD  S.A. - EPS S.O.S. S.A.,2017,Abril,2
05,05 - ANTIOQUIA,05030,05030 - AMAGÁ,CONTRIBUTIVO,EPS037,LA NUEVA EPS S.A.,2017,Abril,1902
05,05 - ANTIOQUIA,05030,05030 - AMAGÁ,CONTRIBUTIVO,EPS040,SAVIA SALUD EPS -CM,2017,Abril,151
05,05 - ANTIOQUIA,05030,05030 - AMAGÁ,CONTRIBUTIVO,ESSC24,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL ZONA SUR ORIENTAL DE CARTAGENA LTDA. COOSALUD E.S.S.-CM,2017,Abril,314
05,05 - ANTIOQUIA,05030,05030 - AMAGÁ,SUBSIDIADO,EPSM03,CAFESALUD  E.P.S.  S.A.-CM,2017,Abril,91
05,05 - ANTIOQUIA,05030,05030 - AMAGÁ,SUBSIDIADO,EPSS02,SALUD  TOTAL  S.A.  E.P.S. CM,2017,Abril,87
05,05 - ANTIOQUIA,05030,05030 - AMAGÁ,SUBSIDIADO,EPSS16,COOMEVA   E.P.S.  S.A.-CM,2017,Abril,540
05,05 - ANTIOQUIA,05030,05030 - AMAGÁ,SUBSIDIADO,EPSS37,NUEVA EPS S.A. -CM,2017,Abril,122
05,05 - ANTIOQUIA,05030,05030 - AMAGÁ,SUBSIDIADO,EPSS40,SAVIA SALUD EPS,2017,Abril,3136
05,05 - ANTIOQUIA,05030,05030 - AMAGÁ,SUBSIDIADO,ESS024,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL ZONA SUR ORIENTAL DE CARTAGENA LTDA. COOSALUD E.S.S.,2017,Abril,5220
05,05 - ANTIOQUIA,05031,05031 - AMALFI,CONTRIBUTIVO,EAS016,EMPRESAS PUBLICAS DE MEDELLIN-DEPARTAMENTO MEDICO,2017,Abril,6
05,05 - ANTIOQUIA,05031,05031 - AMALFI,CONTRIBUTIVO,EPS003,CAFESALUD  E.P.S.  S.A.,2017,Abril,3411
05,05 - ANTIOQUIA,05031,05031 - AMALFI,CONTRIBUTIVO,EPS018,EPS SERVICIO OCCIDENTAL DE SALUD  S.A. - EPS S.O.S. S.A.,2017,Abril,1
05,05 - ANTIOQUIA,05031,05031 - AMALFI,CONTRIBUTIVO,EPS037,LA NUEVA EPS S.A.,2017,Abril,1272
05,05 - ANTIOQUIA,05031,05031 - AMALFI,CONTRIBUTIVO,EPS040,SAVIA SALUD EPS -CM,2017,Abril,64
05,05 - ANTIOQUIA,05031,05031 - AMALFI,CONTRIBUTIVO,ESSC24,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL ZONA SUR ORIENTAL DE CARTAGENA LTDA. COOSALUD E.S.S.-CM,2017,Abril,291
05,05 - ANTIOQUIA,05031,05031 - AMALFI,SUBSIDIADO,EPSM03,CAFESALUD  E.P.S.  S.A.-CM,2017,Abril,310
05,05 - ANTIOQUIA,05031,05031 - AMALFI,SUBSIDIADO,EPSS16,COOMEVA   E.P.S.  S.A.-CM,2017,Abril,1
05,05 - ANTIOQUIA,05031,05031 - AMALFI,SUBSIDIADO,EPSS37,NUEVA EPS S.A. -CM,2017,Abril,105
05,05 - ANTIOQUIA,05031,05031 - AMALFI,SUBSIDIADO,EPSS40,SAVIA SALUD EPS,2017,Abril,4692
05,05 - ANTIOQUIA,05031,05031 - AMALFI,SUBSIDIADO,ESS024,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL ZONA SUR ORIENTAL DE CARTAGENA LTDA. COOSALUD E.S.S.,2017,Abril,10784
05,05 - ANTIOQUIA,05034,05034 - ANDES,CONTRIBUTIVO,EPS003,CAFESALUD  E.P.S.  S.A.,2017,Abril,4392
05,05 - ANTIOQUIA,05034,05034 - ANDES,CONTRIBUTIVO,EPS016,COOMEVA   E.P.S.  S.A.,2017,Abril,2324
05,05 - ANTIOQUIA,05034,05034 - ANDES,CONTRIBUTIVO,EPS018,EPS SERVICIO OCCIDENTAL DE SALUD  S.A. - EPS S.O.S. S.A.,2017,Abril,1
05,05 - ANTIOQUIA,05034,05034 - ANDES,CONTRIBUTIVO,EPS037,LA NUEVA EPS S.A.,2017,Abril,1350
05,05 - ANTIOQUIA,05034,05034 - ANDES,CONTRIBUTIVO,EPS040,SAVIA SALUD EPS -CM,2017,Abril,358
05,05 - ANTIOQUIA,05034,05034 - ANDES,CONTRIBUTIVO,ESSC91,ENTIDAD COOPERATIVA SOL.DE SALUD DEL NORTE DE SOACHA ECOOPSOS-CM,2017,Abril,3
05,05 - ANTIOQUIA,05034,05034 - ANDES,SUBSIDIADO,EPSM03,CAFESALUD  E.P.S.  S.A.-CM,2017,Abril,435
05,05 - ANTIOQUIA,05034,05034 - ANDES,SUBSIDIADO,EPSS16,COOMEVA   E.P.S.  S.A.-CM,2017,Abril,456
05,05 - ANTIOQUIA,05034,05034 - ANDES,SUBSIDIADO,EPSS37,NUEVA EPS S.A. -CM,2017,Abril,221
05,05 - ANTIOQUIA,05034,05034 - ANDES,SUBSIDIADO,EPSS40,SAVIA SALUD EPS,2017,Abril,23909
05,05 - ANTIOQUIA,05034,05034 - ANDES,SUBSIDIADO,ESS091,ENTIDAD COOPERATIVA SOL.DE SALUD DEL NORTE DE SOACHA ECOOPSOS,2017,Abril,3744
05,05 - ANTIOQUIA,05036,05036 - ANGELÓPOLIS,CONTRIBUTIVO,EPS003,CAFESALUD  E.P.S.  S.A.,2017,Abril,404
05,05 - ANTIOQUIA,05036,05036 - ANGELÓPOLIS,CONTRIBUTIVO,EPS016,COOMEVA   E.P.S.  S.A.,2017,Abril,1050
05,05 - ANTIOQUIA,05036,05036 - ANGELÓPOLIS,CONTRIBUTIVO,EPS023,CRUZ BLANCA  EPS S.A.,2017,Abril,1
05,05 - ANTIOQUIA,05036,05036 - ANGELÓPOLIS,CONTRIBUTIVO,EPS037,LA NUEVA EPS S.A.,2017,Abril,146
05,05 - ANTIOQUIA,05036,05036 - ANGELÓPOLIS,CONTRIBUTIVO,ESSC91,ENTIDAD COOPERATIVA SOL.DE SALUD DEL NORTE DE SOACHA ECOOPSOS-CM,2017,Abril,25
05,05 - ANTIOQUIA,05036,05036 - ANGELÓPOLIS,SUBSIDIADO,EPSM03,CAFESALUD  E.P.S.  S.A.-CM,2017,Abril,39
05,05 - ANTIOQUIA,05036,05036 - ANGELÓPOLIS,SUBSIDIADO,EPSS16,COOMEVA   E.P.S.  S.A.-CM,2017,Abril,68
05,05 - ANTIOQUIA,05036,05036 - ANGELÓPOLIS,SUBSIDIADO,EPSS37,NUEVA EPS S.A. -CM,2017,Abril,22
05,05 - ANTIOQUIA,05036,05036 - ANGELÓPOLIS,SUBSIDIADO,ESS091,ENTIDAD COOPERATIVA SOL.DE SALUD DEL NORTE DE SOACHA ECOOPSOS,2017,Abril,2604
05,05 - ANTIOQUIA,05038,05038 - ANGOSTURA,CONTRIBUTIVO,EAS016,EMPRESAS PUBLICAS DE MEDELLIN-DEPARTAMENTO MEDICO,2017,Abril,2
05,05 - ANTIOQUIA,05038,05038 - ANGOSTURA,CONTRIBUTIVO,EPS003,CAFESALUD  E.P.S.  S.A.,2017,Abril,594
05,05 - ANTIOQUIA,05038,05038 - ANGOSTURA,CONTRIBUTIVO,EPS037,LA NUEVA EPS S.A.,2017,Abril,153
05,05 - ANTIOQUIA,05038,05038 - ANGOSTURA,CONTRIBUTIVO,ESSC24,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL ZONA SUR ORIENTAL DE CARTAGENA LTDA. COOSALUD E.S.S.-CM,2017,Abril,229
05,05 - ANTIOQUIA,05038,05038 - ANGOSTURA,SUBSIDIADO,EPSM03,CAFESALUD  E.P.S.  S.A.-CM,2017,Abril,97
05,05 - ANTIOQUIA,05038,05038 - ANGOSTURA,SUBSIDIADO,EPSS37,NUEVA EPS S.A. -CM,2017,Abril,17
05,05 - ANTIOQUIA,05038,05038 - ANGOSTURA,SUBSIDIADO,ESS024,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL ZONA SUR ORIENTAL DE CARTAGENA LTDA. COOSALUD E.S.S.,2017,Abril,8734
05,05 - ANTIOQUIA,05040,05040 - ANORÍ,CONTRIBUTIVO,EPS003,CAFESALUD  E.P.S.  S.A.,2017,Abril,920
05,05 - ANTIOQUIA,05040,05040 - ANORÍ,CONTRIBUTIVO,EPS037,LA NUEVA EPS S.A.,2017,Abril,297
05,05 - ANTIOQUIA,05040,05040 - ANORÍ,CONTRIBUTIVO,EPS040,SAVIA SALUD EPS -CM,2017,Abril,24
05,05 - ANTIOQUIA,05040,05040 - ANORÍ,CONTRIBUTIVO,ESSC24,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL ZONA SUR ORIENTAL DE CARTAGENA LTDA. COOSALUD E.S.S.-CM,2017,Abril,283
05,05 - ANTIOQUIA,05040,05040 - ANORÍ,SUBSIDIADO,EPSM03,CAFESALUD  E.P.S.  S.A.-CM,2017,Abril,141
05,05 - ANTIOQUIA,05040,05040 - ANORÍ,SUBSIDIADO,EPSS37,NUEVA EPS S.A. -CM,2017,Abril,55
05,05 - ANTIOQUIA,05040,05040 - ANORÍ,SUBSIDIADO,EPSS40,SAVIA SALUD EPS,2017,Abril,3013
05,05 - ANTIOQUIA,05040,05040 - ANORÍ,SUBSIDIADO,ESS024,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL ZONA SUR ORIENTAL DE CARTAGENA LTDA. COOSALUD E.S.S.,2017,Abril,10330
05,05 - ANTIOQUIA,05042,05042 - SANTAFÉ DE ANTIOQUIA,CONTRIBUTIVO,EAS016,EMPRESAS PUBLICAS DE MEDELLIN-DEPARTAMENTO MEDICO,2017,Abril,4
05,05 - ANTIOQUIA,05042,05042 - SANTAFÉ DE ANTIOQUIA,CONTRIBUTIVO,EPS003,CAFESALUD  E.P.S.  S.A.,2017,Abril,6027
05,05 - ANTIOQUIA,05042,05042 - SANTAFÉ DE ANTIOQUIA,CONTRIBUTIVO,EPS005,E.P.S.  SANITAS  S.A.,2017,Abril,1
05,05 - ANTIOQUIA,05042,05042 - SANTAFÉ DE ANTIOQUIA,CONTRIBUTIVO,EPS016,COOMEVA   E.P.S.  S.A.,2017,Abril,1861
05,05 - ANTIOQUIA,05042,05042 - SANTAFÉ DE ANTIOQUIA,CONTRIBUTIVO,EPS018,EPS SERVICIO OCCIDENTAL DE SALUD  S.A. - EPS S.O.S. S.A.,2017,Abril,2
05,05 - ANTIOQUIA,05042,05042 - SANTAFÉ DE ANTIOQUIA,CONTRIBUTIVO,EPS037,LA NUEVA EPS S.A.,2017,Abril,974
05,05 - ANTIOQUIA,05042,05042 - SANTAFÉ DE ANTIOQUIA,CONTRIBUTIVO,EPS040,SAVIA SALUD EPS -CM,2017,Abril,465
05,05 - ANTIOQUIA,05042,05042 - SANTAFÉ DE ANTIOQUIA,CONTRIBUTIVO,ESSC24,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL ZONA SUR ORIENTAL DE CARTAGENA LTDA. COOSALUD E.S.S.-CM,2017,Abril,373
05,05 - ANTIOQUIA,05042,05042 - SANTAFÉ DE ANTIOQUIA,CONTRIBUTIVO,ESSC91,ENTIDAD COOPERATIVA SOL.DE SALUD DEL NORTE DE SOACHA ECOOPSOS-CM,2017,Abril,4
05,05 - ANTIOQUIA,05042,05042 - SANTAFÉ DE ANTIOQUIA,SUBSIDIADO,EPSM03,CAFESALUD  E.P.S.  S.A.-CM,2017,Abril,787
05,05 - ANTIOQUIA,05042,05042 - SANTAFÉ DE ANTIOQUIA,SUBSIDIADO,EPSS16,COOMEVA   E.P.S.  S.A.-CM,2017,Abril,264
05,05 - ANTIOQUIA,05042,05042 - SANTAFÉ DE ANTIOQUIA,SUBSIDIADO,EPSS37,NUEVA EPS S.A. -CM,2017,Abril,141
05,05 - ANTIOQUIA,05042,05042 - SANTAFÉ DE ANTIOQUIA,SUBSIDIADO,EPSS40,SAVIA SALUD EPS,2017,Abril,6521
05,05 - ANTIOQUIA,05042,05042 - SANTAFÉ DE ANTIOQUIA,SUBSIDIADO,ESS024,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL ZONA SUR ORIENTAL DE CARTAGENA LTDA. COOSALUD E.S.S.,2017,Abril,8687
05,05 - ANTIOQUIA,05042,05042 - SANTAFÉ DE ANTIOQUIA,SUBSIDIADO,ESS091,ENTIDAD COOPERATIVA SOL.DE SALUD DEL NORTE DE SOACHA ECOOPSOS,2017,Abril,157
05,05 - ANTIOQUIA,05044,05044 - ANZÁ,CONTRIBUTIVO,EPS003,CAFESALUD  E.P.S.  S.A.,2017,Abril,1100
05,05 - ANTIOQUIA,05044,05044 - ANZÁ,CONTRIBUTIVO,EPS037,LA NUEVA EPS S.A.,2017,Abril,43
05,05 - ANTIOQUIA,05044,05044 - ANZÁ,CONTRIBUTIVO,EPS040,SAVIA SALUD EPS -CM,2017,Abril,51
05,05 - ANTIOQUIA,05044,05044 - ANZÁ,SUBSIDIADO,EPSM03,CAFESALUD  E.P.S.  S.A.-CM,2017,Abril,286
05,05 - ANTIOQUIA,05044,05044 - ANZÁ,SUBSIDIADO,EPSS37,NUEVA EPS S.A. -CM,2017,Abril,5
05,05 - ANTIOQUIA,05044,05044 - ANZÁ,SUBSIDIADO,EPSS40,SAVIA SALUD EPS,2017,Abril,5002
05,05 - ANTIOQUIA,05045,05045 - APARTADÓ,CONTRIBUTIVO,EPS003,CAFESALUD  E.P.S.  S.A.,2017,Abril,23860
05,05 - ANTIOQUIA,05045,05045 - APARTADÓ,CONTRIBUTIVO,EPS005,E.P.S.  SANITAS  S.A.,2017,Abril,1
05,05 - ANTIOQUIA,05045,05045 - APARTADÓ,CONTRIBUTIVO,EPS010,EPS Y MEDICINA PREPAGADA SURAMERICANA S.A,2017,Abril,11621
05,05 - ANTIOQUIA,05045,05045 - APARTADÓ,CONTRIBUTIVO,EPS016,COOMEVA   E.P.S.  S.A.,2017,Abril,32051
05,05 - ANTIOQUIA,05045,05045 - APARTADÓ,CONTRIBUTIVO,EPS018,EPS SERVICIO OCCIDENTAL DE SALUD  S.A. - EPS S.O.S. S.A.,2017,Abril,5
05,05 - ANTIOQUIA,05045,05045 - APARTADÓ,CONTRIBUTIVO,EPS037,LA NUEVA EPS S.A.,2017,Abril,17249
05,05 - ANTIOQUIA,05045,05045 - APARTADÓ,CONTRIBUTIVO,EPS040,SAVIA SALUD EPS -CM,2017,Abril,602
